frame,id,team,jersey,x_center,y_center,dist_to_ball,nearest_ids,nearest_dists
10,87,other,,376.99,284.13,,"[23, 78, 29]","[19.6, 29.64, 30.03]"
10,78,green,,405.74,276.93,,"[29, 23, 61]","[9.06, 17.15, 19.47]"
10,76,green,,296.1,350.83,,"[22, 41, 19]","[32.8, 39.09, 70.56]"
10,74,other,,282.37,244.04,,"[32, 67, 28]","[22.22, 45.3, 50.86]"
10,71,green,,330.34,162.38,,"[68, 28, 50]","[41.75, 45.11, 46.34]"
10,70,green,,463.21,254.54,,"[60, 61, 27]","[27.46, 44.25, 51.68]"
10,69,green,,262.04,128.46,,"[16, 50, 71]","[27.89, 36.38, 76.26]"
10,68,green,,370.24,174.66,,"[71, 14, 28]","[41.75, 54.66, 63.27]"
10,67,green,,315.56,274.88,,"[74, 19, 41]","[45.3, 47.19, 51.98]"
10,66,black,,502.02,326.89,,"[18, 60, 31]","[19.29, 55.65, 72.04]"
10,65,other,,223.76,217.34,,"[32, 74, 62]","[42.18, 64.4, 69.68]"
10,64,other,,222.4,351.42,,"[76, 22, 41]","[73.71, 100.47, 106.84]"
10,63,other,,554.96,190.93,,"[27, 70, 60]","[72.88, 111.64, 112.03]"
10,62,other,,154.32,211.58,,"[45, 30, 65]","[28.19, 31.05, 69.68]"
10,61,black,,425.22,277.22,,"[78, 29, 23]","[19.47, 20.22, 32.65]"
10,60,black,,481.21,275.28,,"[70, 27, 18]","[27.46, 41.01, 49.59]"
10,50,other,,298.41,128.79,,"[69, 16, 71]","[36.38, 38.01, 46.34]"
10,45,other,,131.72,194.73,,"[30, 62, 65]","[19.22, 28.19, 94.78]"
10,42,black,,623.59,350.36,,"[26, 24, 18]","[5.85, 45.59, 115.69]"
10,41,other,,326.11,325.77,,"[22, 19, 76]","[6.52, 31.48, 39.09]"
10,36,black,,367.52,324.11,,"[19, 87, 41]","[24.46, 41.09, 41.45]"
10,32,other,,262.27,234.56,,"[74, 65, 28]","[22.22, 42.18, 60.22]"
10,31,referee,,430.06,330.35,,"[29, 23, 61]","[50.09, 52.65, 53.35]"
10,30,other,,145.85,181.7,,"[45, 62, 65]","[19.22, 31.05, 85.68]"
10,29,black,,406.96,285.91,,"[78, 23, 61]","[9.06, 12.43, 20.22]"
10,28,green,,314.53,204.63,,"[71, 74, 32]","[45.11, 50.86, 60.22]"
10,27,green,,514.81,251.75,,"[60, 70, 18]","[41.01, 51.68, 60.35]"
10,26,black,,618.29,347.89,,"[42, 24, 18]","[5.85, 40.52, 109.87]"
10,24,green,,578.07,352.77,,"[26, 42, 18]","[40.52, 45.59, 75.53]"
10,23,black,,395.47,290.66,,"[29, 78, 87]","[12.43, 17.15, 19.6]"
10,22,green,,320.24,328.61,,"[41, 76, 19]","[6.52, 32.8, 37.87]"
10,19,other,,350.8,306.25,,"[36, 41, 87]","[24.46, 31.48, 34.28]"
10,18,black,,514.41,312.11,,"[66, 60, 27]","[19.29, 49.59, 60.35]"
10,16,green,,270.83,154.94,,"[69, 50, 71]","[27.89, 38.01, 59.98]"
10,14,other,,388.03,226.35,,"[78, 68, 87]","[53.6, 54.66, 58.83]"
11,87,other,,378.52,285.21,,"[23, 78, 29]","[18.77, 29.53, 30.28]"
11,78,referee,,406.28,275.14,,"[29, 23, 61]","[11.66, 18.79, 20.82]"
11,76,green,,298.13,351.25,,"[22, 41, 19]","[31.94, 38.17, 71.94]"
11,74,other,,288.26,243.87,,"[32, 67, 28]","[22.78, 43.35, 47.51]"
11,71,green,,333.03,162.33,,"[68, 28, 16]","[42.1, 46.29, 60.95]"
11,70,green,,465.78,255.48,,"[60, 61, 27]","[26.35, 44.59, 47.02]"
11,69,green,,264.8,128.43,,"[16, 71, 28]","[28.57, 76.19, 92.62]"
11,68,green,,373.24,174.78,,"[71, 14, 28]","[42.1, 55.02, 64.75]"
11,67,green,,317.75,275.64,,"[74, 19, 41]","[43.35, 44.24, 52.67]"
11,66,black,,505.75,327.18,,"[18, 60, 31]","[17.13, 56.52, 73.24]"
11,65,other,,227.28,218.6,,"[32, 74, 62]","[43.34, 66.01, 69.03]"
11,64,other,,225.88,351.91,,"[76, 22, 41]","[72.25, 97.8, 104.91]"
11,63,other,,555.52,191.23,,"[27, 70, 60]","[74.66, 110.37, 111.18]"
11,62,other,,158.62,211.52,,"[51, 45, 30]","[27.82, 30.16, 30.82]"
11,61,black,,426.97,277.45,,"[29, 78, 23]","[20.34, 20.82, 33.52]"
11,60,black,,482.96,275.46,,"[70, 27, 18]","[26.35, 37.64, 50.75]"
11,54,black,,426.01,341.38,,"[31, 29, 23]","[12.06, 57.49, 58.38]"
11,51,other,,131.95,203.62,,"[45, 62, 30]","[11.03, 27.82, 29.64]"
11,45,other,,134.84,192.97,,"[51, 30, 62]","[11.03, 20.37, 30.16]"
11,42,black,,622.99,350.66,,"[26, 24, 18]","[4.71, 43.67, 112.89]"
11,41,other,,327.87,327.33,,"[22, 19, 76]","[7.11, 33.86, 38.17]"
11,36,black,,368.03,324.73,,"[19, 41, 87]","[26.5, 40.24, 40.89]"
11,32,other,,266.58,236.87,,"[74, 65, 28]","[22.78, 43.34, 58.74]"
11,31,green,,432.63,331.3,,"[54, 29, 61]","[12.06, 50.73, 54.15]"
11,30,other,,151.67,181.5,,"[45, 51, 62]","[20.37, 29.64, 30.82]"
11,29,black,,408.77,286.53,,"[78, 23, 61]","[11.66, 13.23, 20.34]"
11,28,green,,316.22,205.46,,"[71, 74, 32]","[46.29, 47.51, 58.74]"
11,27,green,,512.7,252.38,,"[60, 70, 18]","[37.64, 47.02, 61.42]"
11,26,green,,618.98,348.18,,"[42, 24, 18]","[4.71, 39.9, 108.3]"
11,24,green,,579.38,353.0,,"[26, 42, 18]","[39.9, 43.67, 74.3]"
11,23,black,,396.35,291.09,,"[29, 87, 78]","[13.23, 18.77, 18.79]"
11,22,green,,320.93,328.88,,"[41, 76, 19]","[7.11, 31.94, 40.08]"
11,19,other,,352.03,303.6,,"[36, 87, 41]","[26.5, 32.25, 33.86]"
11,18,black,,516.32,313.7,,"[66, 60, 27]","[17.13, 50.75, 61.42]"
11,16,green,,272.41,155.97,,"[69, 71, 28]","[28.57, 60.95, 66.1]"
11,14,other,,390.12,227.15,,"[78, 68, 87]","[50.64, 55.02, 59.21]"
12,89,other,,380.56,292.63,,"[87, 23, 19]","[7.15, 16.31, 28.75]"
12,87,other,,379.66,285.54,,"[89, 23, 78]","[7.15, 18.45, 29.28]"
12,78,green,,407.4,276.18,,"[29, 23, 61]","[10.23, 19.19, 20.94]"
12,74,other,,294.3,244.65,,"[32, 67, 28]","[23.4, 40.08, 44.51]"
12,71,green,,335.86,162.56,,"[68, 28, 16]","[41.68, 47.73, 62.52]"
12,70,other,,468.95,256.36,,"[60, 27, 61]","[25.81, 42.43, 45.84]"
12,69,green,,267.84,127.85,,"[16, 71, 28]","[29.63, 76.36, 92.88]"
12,68,green,,375.69,174.82,,"[71, 14, 28]","[41.68, 55.07, 66.49]"
12,67,other,,320.33,275.13,,"[74, 19, 41]","[40.08, 41.82, 54.22]"
12,66,black,,508.02,327.33,,"[18, 60, 31]","[16.08, 55.6, 73.36]"
12,65,other,,230.06,219.12,,"[32, 62, 74]","[45.75, 65.96, 69.12]"
12,64,green,,229.17,351.72,,"[17, 22, 41]","[71.61, 94.98, 103.1]"
12,63,other,,555.87,191.74,,"[27, 70, 60]","[75.71, 108.32, 111.13]"
12,62,green,,164.38,213.13,,"[51, 30, 45]","[29.37, 32.75, 33.33]"
12,61,black,,428.29,277.54,,"[29, 78, 23]","[20.24, 20.94, 34.68]"
12,60,black,,484.53,276.94,,"[70, 27, 18]","[25.81, 35.94, 50.69]"
12,57,black,,375.0,322.09,,"[36, 39, 89]","[5.76, 26.22, 29.98]"
12,54,black,,430.31,340.44,,"[31, 29, 57]","[11.84, 58.04, 58.28]"
12,51,other,,137.81,200.61,,"[45, 30, 62]","[7.72, 26.59, 29.37]"
12,45,other,,137.9,192.89,,"[51, 30, 62]","[7.72, 21.61, 33.33]"
12,42,black,,625.49,350.65,,"[26, 24, 18]","[5.58, 44.95, 113.13]"
12,41,other,,329.64,328.55,,"[22, 39, 19]","[8.17, 23.06, 36.08]"
12,39,green,,351.91,334.51,,"[36, 41, 57]","[20.59, 23.06, 26.22]"
12,36,black,,370.53,325.72,,"[57, 39, 19]","[5.76, 20.59, 30.15]"
12,32,other,,272.22,236.9,,"[74, 65, 28]","[23.4, 45.75, 54.32]"
12,31,green,,434.69,329.44,,"[54, 29, 61]","[11.84, 49.92, 52.29]"
12,30,other,,156.2,181.41,,"[45, 51, 62]","[21.61, 26.59, 32.75]"
12,29,black,,409.94,286.09,,"[78, 23, 61]","[10.23, 14.44, 20.24]"
12,28,green,,317.23,206.5,,"[74, 71, 32]","[44.51, 47.73, 54.32]"
12,27,green,,511.23,252.88,,"[60, 70, 18]","[35.94, 42.43, 62.36]"
